Info 0    [23:47:10.39] Starting TS Server
Info 1    [23:47:10.40] Version: 3.5.3
Info 2    [23:47:10.40] Arguments: /usr/local/bin/node /home/orphen/Programación/JavaScript/http-effects/node_modules/.bin/tsserver --logFile /home/orphen/Programación/JavaScript/http-effects/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/d1e27f4b7acb52fbf474985f7ce0fcf1/tscancellation*
Info 3    [23:47:10.40] Platform: linux NodeVersion: 10 CaseSensitive: true
Info 4    [23:47:10.50] Search path: /home/orphen/Programación/JavaScript/http-effects/src/app
Info 5    [23:47:10.50] For info: /home/orphen/Programación/JavaScript/http-effects/src/app/app-routing.module.ts :: Config file name: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json
Info 6    [23:47:10.51] Opened configuration file /home/orphen/Programación/JavaScript/http-effects/tsconfig.json
Info 7    [23:47:10.681] Starting updateGraphWorker: Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json
Info 8    [23:47:12.307] Finishing updateGraphWorker: Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json Version: 1 structureChanged: true Elapsed: 1626ms
Info 9    [23:47:12.308] Project '/home/orphen/Programación/JavaScript/http-effects/tsconfig.json' (Configured) 
Info 10   [23:47:12.308] 	Files (256)

Info 11   [23:47:12.308] -----------------------------------------------
Info 12   [23:47:12.323] DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/.log/ti-26378.log :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Wild card directory
Info 13   [23:47:12.323] Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json Detected file add/remove of non supported extension: /home/orphen/Programación/JavaScript/http-effects/.log/ti-26378.log
Info 14   [23:47:12.323] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/.log/ti-26378.log :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Wild card directory
Info 15   [23:47:29.163] DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/.#app-routing.module.ts :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Wild card directory
Info 16   [23:47:29.164] Elapsed:: 1ms DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/.#app-routing.module.ts :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Wild card directory
Info 17   [23:47:29.164] DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/.#app-routing.module.ts :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects/src 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Failed Lookup Locations
Info 18   [23:47:29.165] Elapsed:: 1ms DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/.#app-routing.module.ts :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects/src 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Failed Lookup Locations
Info 19   [23:47:29.374] Starting updateGraphWorker: Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json
Info 20   [23:47:29.861] Finishing updateGraphWorker: Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json Version: 2 structureChanged: true Elapsed: 486ms
Info 21   [23:47:29.862] Project '/home/orphen/Programación/JavaScript/http-effects/tsconfig.json' (Configured) 
Info 22   [23:47:29.862] 	Files (256)

Info 23   [23:47:29.862] -----------------------------------------------
Info 24   [23:47:29.878] Structure before ensureProjectForOpenFiles:
Info 25   [23:47:29.878] Structure after ensureProjectForOpenFiles:
Info 26   [23:47:29.879] got projects updated in background, updating diagnostics for /home/orphen/Programación/JavaScript/http-effects/src/app/app-routing.module.ts
Info 27   [23:47:30.24] DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/.#app-routing.module.ts :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Wild card directory
Info 28   [23:47:30.24] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/.#app-routing.module.ts :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Wild card directory
Info 29   [23:47:30.24] DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/.#app-routing.module.ts :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects/src 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Failed Lookup Locations
Info 30   [23:47:30.24] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/.#app-routing.module.ts :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects/src 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Failed Lookup Locations
Info 31   [23:47:30.233] Starting updateGraphWorker: Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json
Info 32   [23:47:30.637] Finishing updateGraphWorker: Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json Version: 3 structureChanged: true Elapsed: 404ms
Info 33   [23:47:30.637] Project '/home/orphen/Programación/JavaScript/http-effects/tsconfig.json' (Configured) 
Info 34   [23:47:30.637] 	Files (256)

Info 35   [23:47:30.637] -----------------------------------------------
Info 36   [23:47:30.675] Structure before ensureProjectForOpenFiles:
Info 37   [23:47:30.675] Structure after ensureProjectForOpenFiles:
Info 38   [23:47:30.675] got projects updated in background, updating diagnostics for /home/orphen/Programación/JavaScript/http-effects/src/app/app-routing.module.ts
Info 39   [23:48:19.813] DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/shared/navbar/.#navbar.component.html :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Wild card directory
Info 40   [23:48:19.813] Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json Detected file add/remove of non supported extension: /home/orphen/Programación/JavaScript/http-effects/src/app/shared/navbar/.#navbar.component.html
Info 41   [23:48:19.813] Elapsed:: 0ms DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/shared/navbar/.#navbar.component.html :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Wild card directory
Info 42   [23:48:19.813] DirectoryWatcher:: Triggered with /home/orphen/Programación/JavaScript/http-effects/src/app/shared/navbar/.#navbar.component.html :: WatchInfo: /home/orphen/Programación/JavaScript/http-effects/src 1 Project: /home/orphen/Programación/JavaScript/http-effects/tsconfig.json WatchType: Failed Lookup Locations
